,decyear,east(m),north(m),up(m)
139,2020.4052,0.715385,0.95663,0.203246
140,2020.4079,0.716536,0.957001,0.209157
141,2020.4107,0.716665,0.956267,0.21031
142,2020.4134,0.716074,0.957198,0.206232
143,2020.4162,0.715581,0.956409,0.207587
144,2020.4189,0.716511,0.956425,0.202186
145,2020.4216,0.714404,0.955118,0.203529
146,2020.4244,0.715742,0.956656,0.200684
147,2020.4271,0.717001,0.956971,0.204026
148,2020.4298,0.717306,0.957282,0.201005
149,2020.4326,0.714826,0.957649,0.199063
150,2020.4353,0.716232,0.956401,0.201348
151,2020.4381,0.714445,0.956941,0.19903
152,2020.4408,0.714945,0.956734,0.198807
153,2020.4435,0.716295,0.955995,0.19323
154,2020.4463,0.71701,0.958664,0.199431
155,2020.449,0.717317,0.956828,0.199622
156,2020.4517,0.716943,0.957734,0.197617
157,2020.4545,0.716834,0.956476,0.199487
158,2020.4572,0.715405,0.957827,0.198279
159,2020.46,0.716511,0.958322,0.194597
160,2020.4627,0.715581,0.957807,0.191524
161,2020.4654,0.715455,0.956812,0.19633
162,2020.4682,0.71663,0.955301,0.194112
163,2020.4709,0.718278,0.955048,0.196941
164,2020.4736,0.717049,0.958797,0.188282
165,2020.4764,0.717766,0.959017,0.190217
166,2020.4791,0.717027,0.958818,0.193334
167,2020.4819,0.717722,0.957147,0.198452
168,2020.4846,0.716728,0.95849,0.189177
169,2020.4873,0.716384,0.957577,0.195388
170,2020.4901,0.71637,0.95625,0.196551
171,2020.4928,0.717173,0.956449,0.195355
172,2020.4956,0.71546,0.957024,0.191214
173,2020.4983,0.716081,0.956352,0.192717
174,2020.501,0.715939,0.956979,0.189463
175,2020.5038,0.716638,0.956609,0.185672
176,2020.5092,0.718203,0.95519,0.18389
177,2020.5147,0.71789,0.955506,0.18314
178,2020.5175,0.717329,0.955226,0.181336
179,2020.5202,0.71747,0.954863,0.18323
180,2020.5229,0.717532,0.953286,0.176071
181,2020.5257,0.716751,0.955932,0.17558
182,2020.5284,0.716841,0.954965,0.176915
183,2020.5339,0.718889,0.957304,0.170895
184,2020.5366,0.715476,0.957165,0.177162
185,2020.5394,0.716117,0.95755,0.175437
186,2020.5421,0.718452,0.955927,0.170631
187,2020.5448,0.716767,0.956556,0.168942
188,2020.5476,0.717652,0.955897,0.166994
189,2020.5503,0.717176,0.956325,0.166336
190,2020.553,0.718125,0.955863,0.166192
191,2020.5558,0.71789,0.957195,0.170898
192,2020.5585,0.717081,0.958116,0.16997
193,2020.5613,0.716796,0.957682,0.16995
194,2020.564,0.716237,0.958196,0.165618
195,2020.5667,0.71647,0.956219,0.16199
196,2020.5695,0.716351,0.956103,0.161387
197,2020.5722,0.716,0.955002,0.167802
198,2020.5749,0.71786,0.955271,0.166847
199,2020.5777,0.716852,0.954279,0.159553
200,2020.5804,0.718084,0.95394,0.156816
201,2020.5832,0.718636,0.952901,0.157195
202,2020.5859,0.715764,0.95277,0.147153
203,2020.5886,0.718325,0.954414,0.1532
204,2020.5914,0.718149,0.955015,0.156824
205,2020.5941,0.7199,0.955179,0.153255
206,2020.5969,0.718258,0.955073,0.15753
207,2020.5996,0.716672,0.953713,0.154639
208,2020.6023,0.717122,0.953551,0.155245
209,2020.6078,0.71843,0.953596,0.153706
210,2020.6105,0.719274,0.953514,0.149769
211,2020.6133,0.719451,0.953056,0.151039
212,2020.616,0.719724,0.953746,0.153994
213,2020.6188,0.716443,0.952937,0.156022
214,2020.6215,0.718675,0.952253,0.149014
215,2020.6242,0.71833,0.951452,0.152714
216,2020.627,0.720994,0.954582,0.144197
217,2020.6297,0.720159,0.953121,0.142192
218,2020.6324,0.718466,0.95297,0.14792
219,2020.6352,0.717394,0.955049,0.148752
220,2020.6379,0.720116,0.955645,0.151343
221,2020.6407,0.718698,0.956736,0.143121
222,2020.6434,0.717723,0.955984,0.142866
223,2020.6461,0.718307,0.955721,0.140534
224,2020.6516,0.718997,0.955869,0.143382
225,2020.6571,0.719575,0.955443,0.139639
226,2020.6598,0.718596,0.955146,0.13876
227,2020.6626,0.720293,0.954366,0.141958
228,2020.6653,0.718738,0.953544,0.140272
229,2020.668,0.719182,0.954143,0.140478
230,2020.6708,0.719242,0.953232,0.135025
231,2020.6735,0.718083,0.953739,0.138395
232,2020.6762,0.71914,0.953405,0.134807
233,2020.679,0.720622,0.953545,0.137108
234,2020.6817,0.717792,0.953569,0.142688
235,2020.6845,0.717091,0.953318,0.130862
236,2020.6872,0.718574,0.954424,0.133299
237,2020.6899,0.720958,0.951629,0.135333
238,2020.6927,0.719802,0.952833,0.135785
239,2020.6954,0.719211,0.954381,0.133565
240,2020.6982,0.718647,0.953961,0.13235
241,2020.7009,0.720036,0.954067,0.131403
242,2020.7036,0.720053,0.953229,0.129594
243,2020.7064,0.719854,0.952991,0.134327
244,2020.7091,0.718536,0.953837,0.133271
245,2020.7118,0.718329,0.953288,0.135174
246,2020.7146,0.717911,0.953881,0.135157
247,2020.7173,0.716932,0.952914,0.133166
248,2020.7201,0.716919,0.953593,0.132682
249,2020.7228,0.716302,0.953641,0.138521
250,2020.7255,0.715328,0.951788,0.132986
251,2020.7283,0.715671,0.952555,0.135581
252,2020.731,0.716202,0.951895,0.136128
253,2020.7337,0.717322,0.951956,0.136615
254,2020.7365,0.714953,0.95347,0.135959
255,2020.7392,0.717816,0.952944,0.136434
256,2020.7447,0.717957,0.953513,0.13647
257,2020.7474,0.717423,0.952982,0.134915
258,2020.7502,0.715319,0.953045,0.135053
259,2020.7529,0.715659,0.953762,0.138795
260,2020.7556,0.716224,0.954248,0.138118
261,2020.7584,0.716153,0.953033,0.133376
262,2020.7611,0.715609,0.953194,0.135387
263,2020.7639,0.715941,0.951757,0.134607
264,2020.7666,0.715537,0.952952,0.137865
265,2020.7693,0.716977,0.952051,0.139432
266,2020.7721,0.716907,0.952987,0.137815
267,2020.7748,0.715725,0.952628,0.140653
268,2020.7775,0.715704,0.953246,0.136599
269,2020.7803,0.715593,0.954256,0.138117
270,2020.783,0.716171,0.952837,0.138053
271,2020.7858,0.714982,0.952945,0.138358
272,2020.7885,0.716077,0.953606,0.133413
273,2020.7912,0.715663,0.953638,0.134179
274,2020.794,0.714754,0.954889,0.134295
275,2020.7967,0.716523,0.955513,0.139908
276,2020.7995,0.715906,0.953828,0.135874
277,2020.8022,0.715107,0.954201,0.136007
278,2020.8049,0.715054,0.952971,0.138162
279,2020.8077,0.71443,0.95362,0.140551
280,2020.8104,0.714189,0.954664,0.14096
281,2020.8131,0.714916,0.953673,0.145374
282,2020.8159,0.713168,0.952149,0.140132
283,2020.8186,0.713983,0.951234,0.139018
284,2020.8214,0.715401,0.951553,0.141004
285,2020.8241,0.712024,0.951395,0.137365
286,2020.8268,0.714268,0.952247,0.140434
287,2020.8296,0.715004,0.951597,0.140333
288,2020.8323,0.714875,0.952132,0.145936
289,2020.835,0.714527,0.952436,0.140648
290,2020.8378,0.712623,0.952696,0.142434
291,2020.8405,0.7132,0.952399,0.145651
292,2020.8433,0.713393,0.951518,0.142246
293,2020.846,0.711769,0.951656,0.14289
294,2020.8487,0.712198,0.950881,0.144068
295,2020.8515,0.713004,0.950483,0.145754
296,2020.8542,0.713801,0.950841,0.153286
297,2020.8569,0.714207,0.950988,0.145665
298,2020.8597,0.713999,0.951426,0.146456
299,2020.8624,0.713575,0.950434,0.145221
300,2020.8652,0.713475,0.950003,0.146223
301,2020.8679,0.712739,0.949151,0.143787
302,2020.8706,0.711328,0.950722,0.146313
303,2020.8734,0.710833,0.950232,0.144577
304,2020.8761,0.712835,0.950865,0.148068
305,2020.8789,0.714232,0.952427,0.152589
306,2020.8816,0.713269,0.951555,0.15226
307,2020.8843,0.71417,0.952265,0.144692
308,2020.8871,0.713905,0.952188,0.143725
309,2020.8898,0.713584,0.951522,0.150477
310,2020.8925,0.714535,0.952556,0.14668
311,2020.8953,0.714681,0.953433,0.154327
312,2020.898,0.714225,0.952366,0.151839
313,2020.9008,0.713703,0.953789,0.153048
314,2020.9035,0.712144,0.953982,0.150008
315,2020.9062,0.715529,0.953659,0.150981
316,2020.909,0.714107,0.953448,0.149502
317,2020.9117,0.716574,0.955714,0.150123
318,2020.9144,0.714451,0.953925,0.155093
319,2020.9172,0.712667,0.95424,0.151524
320,2020.9199,0.713628,0.954645,0.149961
321,2020.9227,0.714128,0.953286,0.148765
322,2020.9254,0.713314,0.955011,0.144407
323,2020.9281,0.713091,0.954042,0.147324
324,2020.9309,0.71094,0.95449,0.14852
325,2020.9336,0.713038,0.955025,0.141532
326,2020.9363,0.711902,0.953944,0.148012
327,2020.9391,0.711781,0.953724,0.14894
328,2020.9418,0.710368,0.953734,0.147491
329,2020.9446,0.711108,0.95522,0.148783
330,2020.9473,0.711751,0.953684,0.147214
331,2020.95,0.711575,0.954322,0.149022
332,2020.9528,0.711347,0.953263,0.149815
333,2020.9555,0.712909,0.954592,0.148717
334,2020.9582,0.712798,0.955187,0.150014
335,2020.961,0.713572,0.955037,0.149536
336,2020.9637,0.713258,0.953725,0.148161
337,2020.9665,0.712352,0.954684,0.149624
338,2020.9692,0.713645,0.952418,0.148786
339,2020.9719,0.713012,0.953267,0.151068
340,2020.9747,0.712098,0.953319,0.150366
341,2020.9774,0.71158,0.952418,0.150173
342,2020.9802,0.711449,0.952996,0.146073
343,2020.9829,0.712254,0.953058,0.147506
344,2020.9856,0.710955,0.953198,0.152047
345,2020.9884,0.711498,0.953416,0.153046
346,2020.9911,0.709983,0.952771,0.156091
347,2020.9938,0.71224,0.954559,0.153795
348,2020.9966,0.710433,0.953581,0.150884
349,2020.9993,0.711324,0.95439,0.152447
350,2021.0021,0.710973,0.954716,0.15194
351,2021.0048,0.711128,0.954396,0.149792
352,2021.0075,0.710672,0.954351,0.154344
353,2021.0103,0.708162,0.954209,0.153847
354,2021.013,0.711142,0.954751,0.155874
355,2021.0157,0.71208,0.954043,0.150317
356,2021.0185,0.71289,0.954269,0.15175
357,2021.0212,0.711442,0.95391,0.150172
358,2021.024,0.710806,0.955024,0.153133
