Sample,TOC,Mg,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE,Al,Si,P,S,K,Ca
LCLB _23,1.51,0,1104.601667,1.13,0.35,258.6066667,20034.715,0.978333333,25.39,15.58,34.515,0.99,1.02,13.61333333,153.49,8.141666667,39.375,9.371666667,1.018333333,5.211666667,1.025,1.058333333,0,0,0,0,0,4.882,0,916870.044,5557.674,23468.456,0,6207.504,3676.08,14131.512
LCLB _30,1.38,28119.88,2196.666667,29.77,12.965,389.6966667,27569.53833,2.161666667,39.55,23.38666667,42.57833333,2.285,2.33,14.27833333,197.5116667,10.16,44.6,11.45666667,3.44,2.42,2.45,2.43,0,0,0,0,0,5.89,0,822171.465,13012.4825,61946.43,0,3506.015,5590.4175,32922.5525
LCLB _33,0.46,,1912.685,101.535,34.77666667,274.9316667,17721.84167,4.363333333,27.07666667,15.945,27.87666667,4.27,4.203333333,10.535,129.12,9.615,35.88333333,11.83,4.141666667,4.185,4.1,4.165,0,0,0,0,0,0,0,798565.15,14821.16,69585.55,0,4073.59,5199.66,36754.505
LCLB _36,0.39,32847.07,3499.266667,141.885,33.56,344.4883333,26348.035,4.343333333,38.85166667,15.61833333,35.71166667,4.251666667,4.233333333,12.82333333,205.8366667,11.82166667,67.22,14.605,4.125,4.086666667,4.051666667,4.031666667,0,0,0,0,0,0,0,770998.9433,17236.60333,75264.64,0,8743.783333,5328.436667,41635.13667
LCLB _39,0.25,0,5866.703333,178.47,106.0733333,603.2066667,44873.69667,1.656666667,63.16166667,22.00833333,60.93666667,1.61,1.618333333,16.38,341.9416667,15.75833333,90.91833333,23.905,3.17,1.57,1.603333333,1.563333333,0,0,0,0,0,0,0,774893.086,17318.82,76791.208,0,7172.392,5435.396,41493.75
LCLC _12,2.85,0,1629.965,0,0,382.8625,26508.02,0,34.015,14.495,45.7175,0,0,15.55,188.91,5.275,41.4375,1.5575,0,0,0,0,0,0,0,1.4025,1.8625,0,0,899882.0325,6587.6375,29922.09,0,7034.8825,4193.9075,18476.18
LCLC _15,2.3,0,1103.996667,0,0,288.53,22529.63,0,24.76,15.635,38.03,0,0,15.98,180.445,5.985,40.81333333,0,0,0,0,0,0,0,0,1.926666667,1.336666667,0,0,918590.7617,5188.453333,21685.59833,0,8337.043333,3558.098333,13293.93667
LCLC_21,2.46,26409.41,1244.651667,0,0,341.6216667,24508.25667,0,30.235,18.72,46.35166667,0,0,15.77666667,171.675,3.86,38.375,1.926666667,0,0,9.228333333,0,0,0,0,0,1.183333333,0,0,903790.3833,5461.808333,21962.06167,0,8364.065,3668.313333,14285.67
LCLC _24,2.55,0,1278.481667,0,0,353.5333333,24380.99333,0,32.89,20.30166667,48.275,0,0,15.61833333,175.1883333,5.175,39.20333333,0.918333333,0,0,0,0,0,0,0,0,0,0,0,907719.1,5980.613333,24458.82,0,8073.73,3745.336667,14554.71333
LCLC _27,2.41,20482.22,1344.55,0,0,356.0383333,25040.04667,0,34.11833333,19.32333333,44.36333333,0,0,15.51333333,169.9566667,5.08,38.71666667,0.98,0,0,0,0,0,0,0,0,1.155,0,0,887476.1483,7319.638333,29848.10167,0,7570.228333,4065.518333,16969.805
LCLC _30,2.11,17290.59,1299.893333,0,8.323333333,331.5983333,23069.51333,0,29.67666667,15.17666667,40.20666667,0,0,15.485,187.2416667,5.876666667,41.85833333,4.106666667,0,0,0,0,0,0,0,1.228333333,1.453333333,0,0,912168.1867,4823.421667,20221.105,0,8637.851667,3423.803333,13070.67
BL1-1 3-7,3.52,51681.16,522.78,0,0,294.51,6963.9,0,0,18.75,23.36,0,0,3.7,844.91,0,24.48,0,0,0,0,0,0,0,0,0,0,0,14.07,790932.06,3827.49,26577.74,0,81651.8,2533.19,34086.11
BL1-1 7-10,2.33,60276.8,647.39,0,0,296.9,7867,0,0,9.18,22.74,0,0,5.58,1330.03,4.06,33.86,0,0,0,0,0,0,0,0,0,0,0,8.56,773706.05,5632.29,29276.74,0,77730.02,2512.22,40640.58
BL1-1 10-13,2.22,50656.54,548.4,0,0,307.83,8335.78,0,0,11.64,20.07,0,0,4.99,1280.8,2.69,34.44,0,0,18.54,0,0,0,0,0,0,0,0,9.12,796594.02,3715.23,24015.45,0,80062.38,2436.14,31945.91
BL1-1 13-16,3.78,47286.44,489.93,0,0,258.45,7284.31,0,0,0,23.1,0,0,3.77,1348.79,3.68,32.52,0,0,0,0,0,0,0,0,0,0,16.09,0,786047.69,3333.69,25600.75,0,81258.78,2362.92,44649.09
BL1-1 16-19,3.03,42766.92,490.25,0,0,245.66,10546.2,0,0,9.13,22.9,0,0,4.01,1008.5,2.65,27.76,0,0,0,0,0,0,0,0,0,0,0,10.34,803364.49,3559.92,24440.5,0,78128.37,2449.68,32922.72
BL1-1 19-22,3.83,42344.47,816.95,0,0,255.44,8503.58,0,21.02,13.52,25.73,0,0,5.53,1088.91,2.71,32.31,0,9.46,0,0,0,0,0,0,0,0,0,0,788411.1,4372.84,26531.02,0,80702.3,2502.19,44360.91
BL1-1 22-25,2.36,43358.06,694.43,0,0,180.6,7520.91,0,0,11.75,32.76,0,0,5.07,1162.29,0,32.75,0,0,0,0,0,0,0,0,0,0,13.17,0,781829.66,4472.91,25904.9,0,78857.92,2050.09,53872.74
BL1-1 25-28,4.09,45109.8,694.14,0,0,223.88,8056.11,0,20.1,14.17,28.34,0,0,5.03,1462.53,3.38,39.35,0,0,0,0,0,0,0,0,0,0,0,0,774059.25,3550.2,25805.7,0,79314.92,1897.05,59716.05
BL1-1 28-31,3.43,30527.38,795.96,137.94,0,155.98,5608.57,0,0,0,13.35,0,0,0,1194.42,0,29.55,0,0,0,0,0,0,0,0,0,0,0,0,771691.57,2485.93,23208.27,0,85132.72,1057.25,77961.11
BL1-1 31-34,3.54,31211.51,641.61,0,0,210.41,6516.53,0,0,0,18.79,0,0,2.9,1183.57,0,31.23,0,0,0,0,0,0,0,0,5.25,0,14.52,9.23,781930.11,4104.55,25093.9,0,78506.85,1395.7,69123.35
BL1-1 34-37,5.18,35343.21,609.81,0,0,205.52,7274.09,0,0,11.7,25.35,0,0,4.78,1660.6,0,37.09,0,0,0,0,0,0,0,0,0,0,0,0,790377.76,4324.4,24926.73,0,76348.47,1840.53,57009.96
BL1-1 37-40,8.94,32719.4,623.56,0,0,206.02,8448.01,0,12.89,11.67,24.9,0,0,4.55,1449.42,3.35,32.55,0,0,0,0,0,0,0,0,0,0,19.29,13.54,798772.69,4151.81,23579.01,0,76703.15,1767.32,51456.89
BL1-2 7-10,9.81,30749.44,332.67,0,0,141.85,3761.89,0,0,0,13.92,0,0,0,716.72,3.49,26.66,5.58,7.41,0,0,0,0,0,0,0,0,0,9.5,782269.85,4721.72,30581.62,0,84331.21,1400.17,60926.29
BL1-2 10-13,2.38,46433.66,658.04,0,0,255.99,7413.38,0,0,12.54,20.29,0,0,5.15,1126,3.65,31.36,0,0,0,0,0,0,0,0,0,0,0,0,764533.55,5002.67,30102.81,0,88430.13,2282.52,53688.27
BL1-2 13-16,1.18,43871.89,492.5,0,0,180.59,4910.91,0,0,0,14.35,0,0,2.44,1027.27,3.34,27.09,0,0,0,0,0,0,0,0,0,0,0,0,751033.9,4269.65,27612.38,0,97812.38,1854.02,66887.29
BL1-2 16-19,0.83,50981.25,500.95,0,0,241.28,4704.64,0,0,0,17.07,0,0,0,1360.4,3.34,31.8,0,0,0,0,0,0,0,0,0,0,0,0,750668.29,3957.52,28904.59,0,89693.61,1790.44,67144.81
BL1-2 19-22,2.33,49977.85,524.05,0,0,274.9,6416.35,0,0,0,15.38,3.51,0,0,1214.38,0,27.67,0,0,0,0,0,0,0,0,0,0,17.41,0,751535.94,4553,30753.42,0,90945.7,2235.36,61505.1
BL1-2 22-25,4.2,43034.27,686.7,0,0,220.08,6100.13,0,0,0,19.64,0,0,4.03,1112.87,0,27.35,0,0,0,0,0,0,0,0,0,0,13.55,0,754171.03,3987.29,28860.75,0,91897.91,2073.43,67790.97
